title,summary,groups,interests
"Agency Information Collection Activities; Proposals, Submissions, and Approvals","The document announces the U.S. AbilityOne Commission's (the Commission) plan to submit an Information Collection Request (ICR) to the Office of Management and Budget (OMB) for approval of a new Participating Employee Information (PEI) form. This form will collect data from qualified nonprofit agencies (NPAs) on employees with disabilities who work on AbilityOne Program contracts, including information on their wages, accommodations, job supports, and career development activities. The goal is to ensure the integrity and further the mission of the AbilityOne Program, which creates employment opportunities for individuals who are blind or have significant disabilities. The Commission is seeking public comments on the necessity of collecting this information and ways to improve the accuracy of the estimated time and cost burdens associated with completing the form.","['Qualified nonprofit agencies (NPAs)', 'Individuals with disabilities employed through the AbilityOne Program', 'Federal agencies that procure products and services from the AbilityOne Program', 'Disability advocacy groups']","['May be concerned about the additional administrative burden of completing the PEI form, but could also see it as an opportunity to showcase their support for employee career development.', 'Likely to support the collection of data that could lead to improved employment opportunities and career development within the program.', 'May be interested in the data collected to ensure the program is effectively serving individuals with disabilities and meeting their procurement needs.', ""Likely to support the Commission's efforts to enhance transparency and oversight of the AbilityOne Program to better serve individuals with disabilities.""]"
Agency Information Collection Activities: Notice of Request for Reinstatement of a Previously Approved Information Collection,"The document outlines a request by the Federal Highway Administration (FHWA) to the Office of Management and Budget (OMB) to reinstate an information collection related to the National Tunnel Inspection Program. This program requires states, federal agencies, and tribal governments to perform and report on inspections of highway tunnels on public roads. The information collected is used for various purposes, including determining the condition of the nation's tunnels, reporting to Congress on tunnel safety, and oversight of the inspection program. The FHWA is seeking public comments on the necessity, accuracy, and potential ways to enhance or minimize the burden of this information collection.","['State transportation departments', 'Federal agencies and tribal governments', 'Transportation safety advocates', 'Taxpayers and the general public']","['May be concerned about the administrative burden of conducting and reporting tunnel inspections, but also have an interest in ensuring the safety and condition of the transportation infrastructure in their states.', 'May share similar concerns as state transportation departments regarding the reporting requirements, but also have a responsibility to ensure the safety of tunnels under their jurisdiction.', ""Likely to support the information collection as a means to improve oversight and transparency around the condition of the nation's highway tunnels, which could lead to enhanced safety measures."", 'May be interested in ensuring that the information collection is necessary and efficient, as it could impact the use of public funds for transportation infrastructure maintenance and improvements.']"
Solicitation of Nominations for Membership for the West Virginia Resource Advisory Committee,"The document outlines the process for soliciting nominations for membership on the West Virginia Resource Advisory Committee (RAC) under the Secure Rural Schools and Community Self-Determination Act. The West Virginia RAC will advise the Secretary of Agriculture on proposed recommendations and other matters. The RAC will be governed by the Federal Advisory Committee Act and will be composed of 15 members representing diverse stakeholder interests, including labor, recreation, energy, timber, environmental, and local government groups. The document provides details on the nomination process, membership criteria, and administrative support for the RAC.","['Organized labor and non-timber forest product harvester groups', 'Outdoor recreation, off-highway vehicle, and commercial recreation groups', 'Energy and mineral development, and commercial or recreational fishing interests', 'Commercial timber industry and non-industrial private forest landowners', 'Nationally and regionally recognized environmental organizations', 'State and local elected officials, American Indian tribes, and the affected public']","['May seek representation on the RAC to advocate for the interests of workers and resource users.', ""Likely to seek representation on the RAC to ensure their recreational interests are considered in the committee's recommendations."", 'May seek representation on the RAC to advocate for the continued use of public lands for resource extraction and commercial activities.', ""Likely to seek representation on the RAC to ensure their economic interests are considered in the committee's recommendations."", 'Likely to seek representation on the RAC to advocate for environmental protection and sustainable land management practices.', ""May seek representation on the RAC to ensure their constituents' interests are considered in the committee's recommendations.""]"
"Request for Comments Regarding the Impact of the Proliferation of Artificial Intelligence on Prior Art, the Knowledge of a Person Having Ordinary Skill in the Art, and Determinations of Patentability Made in View of the Foregoing","The document outlines the U.S. Patent and Trademark Office's (USPTO) request for public comments on how the proliferation of artificial intelligence (AI) could impact prior art, the knowledge of a person having ordinary skill in the art (PHOSITA), and determinations of patentability. The USPTO has previously engaged with stakeholders on AI's impact on patent policy, and this request aims to further evaluate the need for guidance on these matters. The responses received will help inform the USPTO's work in the courts and in providing technical advice to Congress.The key points are:- The increasing use of AI has the potential to provide benefits and challenges for intellectual property policy.- There are varying views on how AI will impact the assessment of a PHOSITA's level of skill and prior art considerations.- Some stakeholders believe the current framework is sufficient, while others think AI will significantly affect these evaluations.- The USPTO is seeking public input to help determine if further guidance is needed on these issues.","['Patent applicants and holders', 'AI technology companies', 'Patent attorneys and agents', 'Academic and research institutions', 'Consumer advocacy groups']","['May be interested in how changes to PHOSITA and prior art assessments could impact the patentability of their inventions, especially those involving AI.', 'Likely to provide input on how the proliferation of AI should be considered in patent policy, as their technologies could be affected.', 'May have insights on the practical implications of changes to PHOSITA and prior art evaluations, and how this could impact their patent prosecution strategies.', ""Could offer perspectives on how the evolving understanding of AI's capabilities should be reflected in patent policy."", 'May be concerned about how changes to patent policy could affect innovation, competition, and consumer access to new technologies.']"
Procurement List; Proposed Changes,"The document proposes changes to the Procurement List, which requires federal government entities to procure certain products from nonprofit agencies employing people who are blind or have other severe disabilities. The proposed changes involve modifying the requirements for products already on the Procurement List, including various sizes and styles of Improved Hot Weather Combat Uniform (IHWCU) trousers for the U.S. Army.The purpose of this notice is to provide an opportunity for interested parties to submit comments on the proposed changes before the Committee makes a final decision. The changes, if approved, would mandate federal agencies to procure the listed IHWCU trouser products from the designated nonprofit agencies.","['Nonprofit agencies employing people who are blind or have other severe disabilities', 'U.S. Department of Defense (DoD)', 'Commercial textile manufacturers']","['Likely to support the proposed changes, as they would ensure continued procurement of the IHWCU trousers from their organizations, providing employment opportunities for their target population.', 'May have an interest in ensuring the IHWCU trousers meet their specifications and are procured in a timely manner to support military operations, while also considering the impact on their supply chain.', 'May oppose the proposed changes if they currently produce or have the capability to produce the IHWCU trousers, as the mandatory procurement from nonprofit agencies could limit their market access.']"
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Modification of Secondary Treatment Requirements for Discharges Into Marine Waters (Renewal),"The Environmental Protection Agency (EPA) has submitted an information collection request (ICR) to the Office of Management and Budget (OMB) for the renewal of the 'Modification of Secondary Treatment Requirements for Discharges into Marine Waters' program. This program allows certain publicly owned treatment works (POTWs) that discharge into marine waters to obtain a modified National Pollutant Discharge Elimination System (NPDES) permit, waiving the secondary treatment requirements for certain pollutants. The ICR involves collecting information from the POTWs and the states to demonstrate that the discharges meet the environmental criteria set forth in the Clean Water Act. The EPA is seeking public comments on this proposed extension of the ICR, which is currently approved through April 2024.","['Publicly Owned Treatment Works (POTWs) with CWA Section 301(h) modified permits', 'Environmental advocacy groups', 'State regulatory agencies']","['May be interested in renewing or revising their modified permits to continue benefiting from the waiver of secondary treatment requirements, which could reduce their operational costs.', 'May be concerned about the potential environmental impacts of allowing POTWs to discharge without secondary treatment and may oppose the extension of the ICR.', ""May be interested in providing the required state determination and certification information to support the POTWs' modified permit applications, as they play a key role in the CWA Section 301(h) program.""]"
California State Nonroad Engine Pollution Control Standards; In-Use Diesel-Fueled Transport Refrigeration Units (TRU) and TRU Generator Sets and In-Use Off-Road Diesel Fueled Fleets; Requests for Authorization; Opportunity for Public Hearing and Comment,"The Environmental Protection Agency (EPA) is announcing a public hearing and comment period to consider authorization requests from the California Air Resources Board (CARB) for amendments to its regulations on in-use diesel-fueled transport refrigeration units (TRUs) and in-use off-road diesel-fueled fleets. The key proposals include requirements for TRUs to use refrigerants with lower global warming potential, particulate matter standards for non-truck TRUs, a transition to zero-emission technology for a percentage of truck fleet TRUs, and registration and reporting requirements for certain facility owners. This document is important as it outlines the EPA's process for evaluating CARB's requests to implement these regulatory changes in California.","['Transport refrigeration unit (TRU) manufacturers', 'Trucking and logistics companies', 'Environmental advocacy groups']","['May oppose the new requirements for lower global warming potential refrigerants and zero-emission technology, as it could increase production costs and impact their business.', 'Likely to be concerned about the costs and operational challenges of transitioning a percentage of their TRU fleets to zero-emission technology.', 'Likely to support the proposals, as they aim to reduce greenhouse gas emissions and particulate matter pollution from TRUs and off-road diesel equipment.']"
Pesticide Registration Review; Proposed Decisions for Several Pesticides; Notice of Availability,"The Environmental Protection Agency (EPA) is announcing the availability of proposed interim decisions (PIDs) and amended PIDs for the registration review of several pesticides, including Acephate, Captan, Ferbam, Thiram, and Ziram. The EPA is opening a 60-day public comment period on these proposed interim registration review decisions.The document outlines the EPA's authority for this action under the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA), which requires the registration review of pesticides every 15 years. The proposed interim and proposed registration review decisions are supported by the rationales included in the registration review dockets for each pesticide.This notice is directed to the public in general and may be of interest to a wide range of stakeholders, including environmental, human health, farm worker, and agricultural advocates; the chemical industry; pesticide users; and members of the public interested in the sale, distribution, or use of pesticides.","['Environmental advocacy groups', 'Human health organizations', 'Agricultural industry', 'Chemical manufacturers', 'Pesticide users (e.g., farmers, landscapers)']","['Likely to be interested in the potential environmental impacts of these pesticides and may provide comments to advocate for stricter regulations or bans.', 'Concerned about the potential health effects of these pesticides and may provide comments to push for more stringent safety measures and exposure limits.', 'May oppose overly restrictive regulations on these pesticides, as they are important for crop production and could increase costs for farmers.', 'Likely to advocate for less stringent regulations to maintain profitability and market share for these pesticide products.', 'May be concerned about the availability and affordability of these pesticides, and could push back against proposals that limit their use.']"
Determination To Defer Sanctions; California; California Air Resources Board and Local California Air Districts,"The Environmental Protection Agency (EPA) is making an interim final determination to defer the imposition of sanctions that were triggered by its previous disapproval of the California Air Resources Board (CARB) and local California air districts' rules for controlling volatile organic compounds (VOCs) from crude oil and natural gas facilities. This determination is based on the EPA's proposed approval of CARB's revised rule and the revised rules submitted by several California air districts, which address the deficiencies identified in the previous disapproval. If the EPA finalizes its proposed approval, the relief from sanctions will become permanent.","['Crude oil and natural gas companies', 'Environmental advocacy groups', 'Local communities in California', 'California air districts']","[""May be concerned about the increased regulatory requirements and compliance costs, but could also benefit from regulatory certainty if the EPA's proposed approval is finalized."", ""Likely to support the EPA's proposed approval, as it could lead to reduced VOC emissions and improved air quality."", 'Interested in the potential environmental and public health impacts of the regulations, and may advocate for stricter rules or more robust enforcement.', ""Supportive of the EPA's proposed approval, as it would allow them to implement their revised rules and avoid the imposition of sanctions.""]"
Prevention of Significant Deterioration (PSD) and Nonattainment New Source Review (NNSR): Regulations Related to Project Emissions Accounting,"The Environmental Protection Agency (EPA) is proposing revisions to the New Source Review (NSR) program under the Clean Air Act. The key proposals include:1. Revising the definition of 'project' in the NSR regulations to change how emissions increases and decreases are calculated for modifications at existing major stationary sources.2. Adding new recordkeeping and reporting requirements for minor modifications at existing major stationary sources.3. Requiring that decreases accounted for in the Step 1 significant emissions increase calculation be enforceable.These changes aim to enhance the NSR program's effectiveness in regulating modifications at major sources and ensuring proper accounting of emissions changes. The EPA is seeking public comments on the proposed rule by July 2, 2024, and may hold a virtual public hearing on May 20, 2024 if requested.","['Existing major stationary sources (e.g., power plants, factories)', 'Environmental advocacy groups', 'State and local air quality regulators']","['May oppose the new recordkeeping and reporting requirements, as well as the changes to how emissions increases and decreases are calculated, as it could increase their compliance burden and operational costs.', 'Likely to support the proposals as they aim to strengthen the NSR program and improve the accounting of emissions changes, which could lead to greater environmental protections.', 'May have concerns about the implementation of the new requirements and how they will impact their existing permitting processes and enforcement capabilities.']"
California Air Plan Revisions; California Air Resources Board and Local California Air Districts; Crude Oil and Natural Gas Facilities,The Environmental Protection Agency (EPA) is proposing to approve revisions to a California statewide rule and six California air district rules into the California State Implementation Plan (SIP) under the Clean Air Act. These revisions concern emissions of volatile organic compounds (VOCs) from crude oil and natural gas facilities. The EPA is proposing to fully approve the reasonably available control technology (RACT) requirement for the 2008 and 2015 ozone National Ambient Air Quality Standards (NAAQS) for sources covered by the EPA's 2016 Control Techniques Guidelines for the Oil and Natural Gas Industry for several California air districts. The EPA is also proposing to conditionally approve the RACT requirement for the 2008 and 2015 ozone NAAQS for sources covered by the EPA's 2016 Oil and Gas CTG for the South Coast Air Quality Management District (SCAQMD).This proposal is important as it aims to address previously identified deficiencies in the California air district rules and ensure compliance with federal ozone standards. The revisions are expected to lead to reductions in VOC emissions from crude oil and natural gas facilities in California.,"['California oil and gas companies', 'Environmental advocacy groups', 'Local communities in California', 'California Air Resources Board (CARB)', 'California air districts']","['May oppose stricter regulations due to increased operational costs.', 'Likely to support the proposal for its potential to reduce air pollution from the oil and gas industry.', 'Concerned about the environmental and public health impacts of oil and gas operations in their areas.', 'Supportive of the revisions as the state agency responsible for developing and submitting the rules to the EPA for approval.', 'Interested in ensuring the rules they have developed are approved by the EPA to meet federal ozone standards.']"
Air Plan Approval; Michigan; Revisions to Part 1 and 2 Rules,"The Environmental Protection Agency (EPA) is proposing to approve revisions to Michigan's Air Pollution Control rules Part 2 Air Use Approval for inclusion in the Michigan State Implementation Plan (SIP). The key points are:- The revisions include exemptions for vapor intrusion mitigation systems and emission units with 'de minimis' emissions, as outlined in Michigan rules R 336.1285(2)(oo) and R 336.1291.- The EPA previously received adverse comments on these exemption rules and withdrew a direct final rule approval. The agency is now re-proposing to approve the exemption rules after Michigan provided additional information and analysis.- Michigan demonstrated that the exemptions would not interfere with attainment of National Ambient Air Quality Standards (NAAQS) or other applicable requirements, based on an analysis of its emissions reporting data.This document is important as it outlines the EPA's proposed approval of revisions to Michigan's air pollution control regulations, which could have implications for air quality and emissions in the state.","['Michigan businesses and industries', 'Environmental advocacy groups', 'Local communities in Michigan']","['May support the exemptions as they could reduce permitting and compliance burdens, but may also be concerned about potential impacts on air quality.', 'Likely to scrutinize the exemptions and push for more stringent air pollution controls to protect public health and the environment.', 'Concerned about potential impacts on air quality and public health, especially in areas already facing air pollution challenges.']"
"Proposed Consent Decree, Clean Water Act Claim; Reopening of the Comment Period","The Environmental Protection Agency (EPA) is reopening the public comment period for a proposed consent decree in the case of Sierra Club, et al. v. EPA, et al. The consent decree would require the EPA to establish total maximum daily loads (TMDLs) for 11 waterbody segments in the Lower Guyandotte River Watershed in West Virginia that are biologically impaired due to ionic toxicity. In exchange, the plaintiffs (Sierra Club, West Virginia Highlands Conservancy, Inc., and West Virginia Rivers Coalition, Inc.) would permanently release any claims against the EPA for establishing TMDLs in the watershed, except for six identified waterbody segments and any new impaired segments. This document is important as it outlines the EPA's proposed resolution to a lawsuit regarding its mandatory duty under the Clean Water Act to establish TMDLs for impaired waters.","['Environmental advocacy groups', 'Industries and businesses operating in the Lower Guyandotte River Watershed', 'Local communities in the Lower Guyandotte River Watershed']","['Likely to support the proposed consent decree as it would require the EPA to establish TMDLs for impaired waters, which could help address environmental concerns.', ""May be concerned about the potential impact of the TMDLs on their operations and may attempt to influence the EPA's decision-making process."", 'Interested in the potential environmental and economic impacts of the proposed consent decree, and may advocate for their specific concerns to be addressed.']"
"Ocean Dumping; Withdrawal of Designated Disposal Sites; Nome, Alaska","The Environmental Protection Agency (EPA) is taking direct final action to withdraw the designated ocean dredged material disposal sites, the Nome East and Nome West Sites, located near Nome, Alaska. This action is being taken because the United States Army Corps of Engineers (USACE) has not used the sites for disposal of dredged material since 2009 and has no plans for future use. Instead, the USACE has been placing dredged material onshore for beneficial use of beach nourishment, which will continue unaffected by this withdrawal. The EPA is relinquishing management of these sites as they are no longer suitable for USACE's needs.This document is important as it outlines the EPA's administrative action to remove these disposal sites from regulation, which will streamline the dredging operations in the Nome area. The withdrawal is a non-controversial action as there are no anticipated adverse impacts to the marine environment or changes to the disposal options available to the USACE and other interested parties.","['United States Army Corps of Engineers (USACE)', 'Port of Nome', 'Environmental advocacy groups']","[""The USACE is the primary stakeholder affected by this action, as it had previously used the disposal sites. However, the USACE's current practice of placing dredged material onshore for beach nourishment will continue unaffected, so the USACE is likely to support the withdrawal of the designated sites."", 'The Port of Nome may be interested in the continued availability of suitable dredged material disposal options, but the withdrawal of these sites is not expected to impact their operations as the onshore placement of dredged material will continue.', 'Environmental groups may be supportive of the withdrawal, as it removes designated disposal sites that are no longer in use, potentially reducing the risk of marine pollution. However, they may also want to ensure that the onshore placement of dredged material is conducted in an environmentally responsible manner.']"
"Airworthiness Directives; Airbus Canada Limited Partnership (Type Certificate Previously Held by C Series Aircraft Limited Partnership (CSALP); Bombardier, Inc.) Airplanes","The FAA is proposing a new airworthiness directive (AD) for certain Airbus Canada Limited Partnership Model BD-500-1A10 and BD-500-1A11 airplanes. The proposed AD was prompted by a report that incorrect terminal lugs were installed at various lavatory and galley locations, which are not compatible with the associated wire gauge. The proposed AD would require removing and replacing the existing lug terminals to address the unsafe condition, which could result in issues such as false alarms, loss of automatic cabin temperature control, and increased crew workload. This proposed AD is based on a Transport Canada AD that identified the issue and specified the necessary corrective actions.","['Airbus Canada Limited Partnership', 'Airline operators', 'Aviation safety regulators (e.g., FAA, Transport Canada)', 'Passenger advocacy groups']","['May be concerned about the cost and operational impact of the required modifications, but will likely cooperate to address the safety issue.', 'Interested in the proposed AD as it could affect the maintenance and operation of their Airbus Canada aircraft, potentially leading to increased costs and disruptions.', 'Focused on ensuring the airworthiness and safety of the affected aircraft models, and will likely support the proposed AD to mitigate the identified safety risks.', 'May be concerned about the potential safety implications and will likely support the proposed AD to ensure the safety of air travelers.']"
"Cancer Clinical Trial Eligibility Criteria: Washout Periods and Concomitant Medications; Draft Guidance for Industry, Institutional Review Boards, and Clinical Investigators; Availability","The FDA is issuing a draft guidance on cancer clinical trial eligibility criteria, specifically regarding the appropriate use of washout periods and concomitant medication exclusions. The guidance aims to provide recommendations to industry, institutional review boards, and clinical investigators to help expand eligibility criteria and improve the diversity of clinical trial populations. The draft guidance is part of a series addressing eligibility criteria for cancer drug trials regulated by the FDA's Center for Drug Evaluation and Research and Center for Biologics Evaluation and Research.This document is important as it seeks to address overly restrictive eligibility criteria that can limit patient access to clinical trials. By providing guidance on washout periods and concomitant medications, the FDA hopes to encourage more inclusive trial designs that better reflect the real-world patient population.","['Cancer drug sponsors', 'Institutional review boards (IRBs)', 'Patient advocacy groups', 'Clinicians and researchers']","['May be interested in the guidance to help design more inclusive trials that can enroll a broader patient population, but may also be concerned about potential impacts on trial timelines and complexity.', 'Will likely welcome the guidance as it provides clarity on evaluating appropriate eligibility criteria, which can help streamline the review process.', ""Likely to support the guidance's goal of expanding access to clinical trials for a more diverse range of cancer patients."", 'May appreciate the guidance as it can help them enroll a broader patient population in their trials, but may also have concerns about potential impacts on trial design and data interpretation.']"
"Notice of Intent To Initiate a Deactivation Request for Tallahassee Commercial (68J), a Privately Owned Airport for Public Use Located in Tallahassee, FL","The Federal Aviation Administration (FAA) intends to file a Deactivation request for Tallahassee Commercial Airport (68J), a privately owned public-use airport. The airport has been closed since 2011 due to a large pavement failure on the runway, and no progress has been made to repair the runway. The FAA has sent a certified letter to the airport owner requesting corrective action, but no response has been received. The FAA is taking this action to address the safety concerns caused by the airport's continued depiction on visual flight rules (VFR) sectional charts, which has led to pilots mistakenly attempting to land at the closed airport.","['Tallahassee Commercial Airport owner', 'Local pilots and aviation community', 'Federal Aviation Administration']","['May oppose the deactivation request due to the financial implications of permanently closing the airport or the costs of repairing the runway.', 'May be concerned about the loss of a local airport option, potentially impacting their operations and convenience.', ""Seeking to address the safety risks posed by the closed airport's continued depiction on charts, which has led to dangerous situations.""]"
"Notice of Intent of Waiver With Respect to Land; John Glenn Columbus International Airport, Columbus, OH","The Federal Aviation Administration (FAA) is considering a proposal to change approximately 2.392 acres of land at the John Glenn Columbus International Airport from aeronautical use to non-aeronautical use and authorize the sale of the property. The land is located in the northwest portion of the airport and is proposed to be sold for the future development of an office/warehouse building, as it is not needed for aeronautical purposes.This notice is required to be published in the Federal Register 30 days before modifying the land-use assurance that requires the property to be used for an aeronautical purpose. The disposition of proceeds from the sale will be in accordance with FAA's policies on the use of airport revenue. The FAA is seeking public comments on this proposal before making a decision.","['Columbus Regional Airport Authority (CRAA)', 'Proposed developer', 'Local community members', 'Environmental advocacy groups']","['As the sponsor of the John Glenn Columbus International Airport, CRAA is proposing the land sale and likely has an interest in generating revenue from the non-aeronautical development of the property.', 'The potential developer of the office/warehouse building may have a vested interest in acquiring the land at a fair market value to proceed with the planned development.', 'Residents and businesses near the airport may be concerned about the potential impacts of the non-aeronautical development, such as increased traffic or changes to the local landscape.', 'Environmental groups may be interested in the potential environmental impacts of the proposed development and may want to ensure that appropriate mitigation measures are in place.']"
"Amendment of Class E Airspace; Hastings, NE","The Federal Aviation Administration (FAA) is proposing to amend the Class E airspace at Hastings, Nebraska. This action is a result of an airspace review conducted due to the decommissioning of the Hastings very high frequency omnidirectional range (VOR) as part of the VOR Minimum Operational Network (MON) Program. The proposed changes aim to bring the airspace into compliance with FAA orders and support instrument flight rule (IFR) procedures and operations at the Hastings Municipal Airport.The key changes include:- Modifying the Class E surface area to a 4.2-mile radius (decreased from 4.7 miles) of the airport, removing the Hastings VOR/DME and associated extension, and updating terminology.- Modifying the Class E airspace extending upward from 700 feet above the surface to a 6.7-mile radius (decreased from 7.2 miles) of the airport, and within 2 miles each side of the 150° bearing from the airport.This document is important as it ensures the airspace around Hastings Municipal Airport remains compliant with FAA regulations and supports safe IFR operations in the area following the decommissioning of the Hastings VOR.","['Hastings Municipal Airport operators', 'General aviation pilots', 'Air traffic control authorities']","['May be supportive of the proposed changes as they aim to maintain safe and efficient IFR operations at the airport following the VOR decommissioning.', 'May be concerned about the changes to the airspace, as they could impact their ability to navigate the area and conduct IFR operations.', 'Likely to favor the proposal as it helps them manage the airspace and support IFR procedures more effectively.']"
"Airworthiness Directives; Airbus Canada Limited Partnership (Type Certificate Previously Held by C Series Aircraft Limited Partnership (CSALP); Bombardier, Inc.) Airplanes","The Federal Aviation Administration (FAA) is proposing to supersede Airworthiness Directive (AD) 2023-05-08, which applies to certain Airbus Canada Limited Partnership Model BD-500-1A10 and BD-500-1A11 airplanes. The proposed AD would continue to require certain actions from the previous AD and would also require revising the existing maintenance or inspection program to incorporate new or more restrictive airworthiness limitations. The FAA is proposing this action to address reduced structural integrity or reduced controllability of the affected airplanes.The key points are:- The FAA is proposing a new AD to supersede the previous AD 2023-05-08- The new AD would require revising maintenance/inspection programs to incorporate new or more restrictive airworthiness limitations- This is being done to address safety issues related to the structural integrity and controllability of the affected airplanes","['Airbus Canada Limited Partnership (Airbus Canada)', 'Airline operators', 'Aviation safety regulators (e.g. Transport Canada Civil Aviation)', 'Passenger advocacy groups']","['As the manufacturer of the affected airplanes, Airbus Canada may be involved in providing technical information and supporting the proposed airworthiness limitations.', 'Airline operators of the affected Airbus Canada airplanes will be required to implement the new maintenance and inspection program changes, which may impact their operations and costs.', 'As the aviation authority for Canada, Transport Canada Civil Aviation collaborated with the FAA on identifying the unsafe condition and issuing the MCAI, and may have an interest in ensuring the proposed actions effectively address the safety concerns.', 'Passenger advocacy groups may be interested in ensuring the proposed actions adequately address safety concerns and protect the traveling public.']"
Agency Information Collection Activities: Requests for Comments; Clearance of a New Approval of Information Collection: Adopt-a-School Application Form,"The Federal Aviation Administration (FAA) is seeking public comments on a new information collection related to its Adopt-a-School program. The program provides STEM-based aerospace lessons to participating schools across the country. The information collection involves gathering feedback from school representatives to continuously improve the program. The FAA aims to use the collected data to review and qualify schools, initiate discussions, and select schools for the following year's program.","['Participating schools', 'Non-participating schools', 'STEM education advocates']","['Interested in providing feedback to improve the Adopt-a-School program and ensure their continued participation.', 'May be interested in the program and could apply to participate, potentially increasing the pool of applicants.', ""Likely to support the program's efforts to promote STEM education in schools, potentially advocating for its expansion.""]"
Modernizing and Expanding Access to the 70/80/90 GHz Bands; Further Notice of Proposed Rulemaking,"The Federal Communications Commission (FCC) is seeking public comments on potential changes to the rules governing the use of the 70/80/90 GHz frequency bands. The key proposals include:1. Allowing ship-to-aerostat transmissions as part of maritime operations in these bands.2. Incorporating Fixed Satellite Service (FSS) earth stations into the third-party database registration system used for terrestrial links in these bands.The FCC is soliciting feedback on these proposals through a Further Notice of Proposed Rulemaking (FNPRM). The document outlines the process for submitting comments and reply comments, as well as the deadlines for providing input on the Initial Regulatory Flexibility Analysis (IRFA) and Paperwork Reduction Act (PRA) implications.This FNPRM is important as it aims to modernize and expand access to the 70/80/90 GHz frequency bands, which have the potential to support various wireless applications and services. The proposed changes could impact a range of stakeholders, including maritime operators, satellite service providers, and wireless technology companies.","['Maritime operators', 'Satellite service providers', 'Wireless technology companies']","['May support the proposal to allow ship-to-aerostat transmissions, as it could enhance their operations and connectivity at sea.', 'May be interested in the proposal to incorporate FSS earth stations into the database registration system, as it could provide them with more opportunities to utilize the 70/80/90 GHz bands.', 'May have a vested interest in the overall modernization and expansion of access to the 70/80/90 GHz bands, as it could enable new wireless applications and services.']"
Single Network Future: Supplemental Coverage From Space; Space Innovation,"The Federal Communications Commission (FCC) is seeking public comments on ways to improve 911 service for supplemental coverage from space (SCS) connections. The key points are:1. The FCC wants to propel the industry towards ubiquitous automatic location-based routing of all 911 calls to accelerate connections between first responders and those in need, regardless of location.2. The FCC is also seeking comments on improving the coordination process between federal and non-federal stakeholders in the SCS context to avoid harmful interference to radio astronomy and related services.3. The FCC is proposing to require terrestrial providers to route all SCS 911 voice calls to a public safety answering point (PSAP) using either location-based routing or an emergency call center. It is seeking comments on the technological developments and potential inconsistencies in 911 call routing requirements between terrestrial providers and satellite operators as SCS evolves.This document is important as it aims to enhance public safety communications and coordination in the emerging SCS landscape.","['Terrestrial wireless providers', 'Satellite operators', 'Radio astronomy and related service providers', 'Public safety organizations']","['May be concerned about the potential impact of location-based routing requirements on their use of SCS to extend coverage areas.', 'May be interested in the coordination process and potential inconsistencies in 911 call routing requirements compared to terrestrial providers.', ""Likely to be supportive of the FCC's efforts to improve coordination and avoid harmful interference to their services."", 'Likely to favor the proposals to enhance 911 service and location-based routing for SCS connections.']"
Agency Information Collection Activities: Proposed Collection Renewal; Comment Request,"The Federal Deposit Insurance Corporation (FDIC) is proposing to renew an existing information collection related to the Interagency Notice of Change in Control (OMB Control No. 3064-0019). This notice is part of the FDIC's obligations under the Paperwork Reduction Act to seek public comment on the renewal. The information collection is mandatory for individuals, insured state nonmember banks, and insured state savings associations proposing to acquire control of an insured depository institution or its parent company. The FDIC uses the information to assess the potential impact of the proposed acquisition on competition, financial stability, and the interests of depositors. The FDIC is increasing the total annual burden from 549 hours to 854 hours, primarily due to the addition of a disclosure requirement and a more accurate methodology for estimating the number of respondents and responses.","['Individuals proposing to acquire control of insured depository institutions', 'Insured state nonmember banks and insured state savings associations', 'Consumer advocacy groups']","['May be concerned about the increased reporting burden and scrutiny of their proposed acquisitions.', 'May be affected by the reporting requirements if they are involved in a change of control transaction, potentially leading to concerns about the administrative burden.', ""May be interested in ensuring the FDIC's review process adequately protects the interests of depositors and the stability of the banking system.""]"
"Notice of Intent To Prepare an Environmental Impact Statement, Orange and Sullivan Counties, NY","The Federal Highway Administration (FHWA), in coordination with the New York State Department of Transportation (NYSDOT), is issuing a Notice of Intent (NOI) to prepare an Environmental Impact Statement (EIS) for the proposed NYS Route 17 Mobility and Access Improvements Project. The purpose of the project is to address operational mobility deficiencies on NYS Route 17 between US Route 209 and Interstate 87. The EIS will consider a range of reasonable alternatives to address the project's purpose and need, which includes addressing insufficient acceleration/deceleration lanes, geometric design issues, and congestion-related travel times. The public is invited to provide comments on the NOI and additional project information during a 30-day comment period.","['Local residents and businesses', 'Environmental advocacy groups', 'Transportation industry groups']","['Concerned about potential impacts on traffic, access, and economic activity in the affected communities.', ""May scrutinize the project's environmental impacts and push for alternatives that minimize environmental harm."", 'Likely to support the project if it improves mobility and access for commercial vehicles, but may have concerns about construction impacts.']"
